ID_TRC,PROPRIETAIRE_REF,CODE_ARR,FORME,RUELLE_ID,DATE_AMENAGEMENT,DATE_BONIFICATION,CIRCULATION,TYPE_AMENAGEMENT,TYPE_RECOUVREMENT,SUPERFICIE_RUELLE_M2,SUPERFICIE_VERDISSEMENT_M2,NUMERO_DE_RESOLUTION,DATE_MAJ
403166,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000039","20130701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",903.41,,,"20191202"
402890,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000007","20180701",,"Ouverte","Plates-bandes et mobilier","Gazonnée",723.401,,,"20191115"
402891,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000096","20170701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",728.69,,,"20191128"
405806,"Sud-Ouest","SO","H","SO-H-1004018","20200701",,"Fermée","Plates-bandes","Végétalisée",125.367,"7",,"20201218"
400931,"Mercier - Hochelaga-Maisonneuve","MHM","T","MHM-T-1000014",,,"Ouverte",,"Asphalté ou bétonnée",127.697,"0",,"20191111"
400932,"Mercier - Hochelaga-Maisonneuve","MHM","H","MHM-H-1000006","20120701",20130701,"Fermée","Mobilier et marquage au sol","Asphalté ou bétonnée",127.707,"4.04",,"20191108"
400936,"Mercier - Hochelaga-Maisonneuve","MHM","J","MHM-J-1000009","20120701",,"Ouverte",,"Asphalté ou bétonnée",128.039,,,"20191111"
401204,"Mercier - Hochelaga-Maisonneuve","MHM","A","MHM-A-1000026",,,"Ouverte",,,154.898,,,"20191112"
403167,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000075","20150701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",919.275,,,"20191127"
403168,"Rosemont - La Petite-Patrie","RPP","L","RPP-L-1000099","20170701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",922.36,,,"20191129"
403169,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000115","20190701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",923.053,,,"20191202"
402960,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000036","20130701",,"Ouverte","Mobilier","Asphalté ou bétonnée",742.509,,,"20191202"
406091,"Rosemont - La Petite-Patrie","RPP","F","RPP-F-1000092","20160701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1397.269,,,"20191128"
406093,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000010","20110701",,"Ouverte","Plates-bandes et mobilier","Pavé alvéolé",1435.263,,,"20191129"
406513,"Sud-Ouest","SO","A","SO-A-1004003","20150701",20191001,"Partiellement fermée","Plates-bandes et mobilier","Mixte",209.347,"104",,"20191104"
406566,"Sud-Ouest","SO","A","SO-A-1004006","20170701",,"Ouverte",,"Mixte",217.642,,,"20191104"
401222,"Mercier - Hochelaga-Maisonneuve","MHM","A","MHM-A-1000033",,,"Ouverte",,"Asphalté ou bétonnée",156.321,"0",,"20191112"
401000,"Mercier - Hochelaga-Maisonneuve","MHM","A","MHM-A-1000013","20130701",20180701,"Fermée","Mobilier","Asphalté ou bétonnée",122.678,"4.4",,"20191111"
406302,"Sud-Ouest","SO","A","SO-A-1003002","20140701",,"Fermée","Mobilier","Asphalté ou bétonnée",92.511,,,"20191021"
406303,"Sud-Ouest","SO","H","SO-H-1004008","20180701",,"Fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",92.604,"32",,"20191004"
406304,"Sud-Ouest","SO","H","SO-H-1004015","20200701",,"Fermée","Plates-bandes","Végétalisée",92.712,"10",,"20201218"
406307,"Sud-Ouest","SO","H","SO-H-1004015","20200701",,"Ouverte",,"Asphalté ou bétonnée",93.389,"0",,"20201218"
406096,"Rosemont - La Petite-Patrie","RPP","L","RPP-L-1000048","20140701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1456.178,,,"20191126"
406158,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000055","20140701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1599.217,,,"20191126"
